	http://blog.outer-court.com/rss.xml	http://feeds.abcnews.com/abcnews/blotterheadlines	http://feeds.feedburner.com/37signals/beMH	http://feeds.feedburner.com/GoogleOperatingSystem	http://feeds.feedburner.com/JohnBattellesSearchblog	http://feeds.feedburner.com/Mashable	http://feeds.feedburner.com/andrewsullivan/rApM	http://feeds.feedburner.com/blogspot/bRuz	http://feeds.feedburner.com/paulstamatiou	http://feeds.feedburner.com/pjmedia/instapundit	http://feeds.feedburner.com/powerlineblog/livefeed	http://gizmodo.com/index.xml	http://gofugyourself.typepad.com/go_fug_yourself/index.rdf	http://googleblog.blogspot.com/rss.xml	http://headrush.typepad.com/creating_passionate_users/index.rdf	http://joi.ito.com/index.rdf	http://michellemalkin.com/feed/	http://moblogsmoproblems.blogspot.com/rss.xml	http://newsbusters.org/node/feed	http://radar.oreilly.com/index.rdf	http://rss.slashdot.org/Slashdot/slashdot	http://scienceblogs.com/pharyngula/feed/	http://scobleizer.wordpress.com/feed/	http://sethgodin.typepad.com/seths_blog/index.rdf	http://thinkprogress.org/feed/	http://www.topix.com//rss/news/blogs	https://blog.zawodny.com/feed/	https://gigaom.com/feed/	https://guykawasaki.com/feed/	https://searchenginewatch.com/tag/rss-feed/feed/
south	0	0	0	1.0	0	1.0	0	0	1.0	2.0	0	0	0	0	0	0	0	2.0	3.0	0	2.0	0	0	0	0	0	0	0	0	0
space	0	0	5.0	0	0	6.0	0	1.0	6.0	0	0	0	0	5.0	0	0	0	5.0	0	0	9.0	0	0	0	0	0	0	1.0	0	0
special	0	0	0	3.0	0	2.0	0	1.0	2.0	0	0	0	0	6.0	0	0	0	1.0	7.0	0	0	0	0	0	1.0	0	0	0	0	0
spend	0	0	3.0	0	0	0	0	1.0	4.0	0	0	0	0	3.0	1.0	0	0	2.0	3.0	0	0	0	0	0	0	1.0	1.0	0	0	0
stand	0	0	4.0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	2.0	5.0	0	0	0	0	0	0	1.0	0	0	0	0
start	1.0	0	7.0	1.0	2.0	2.0	0	0	22.0	1.0	0	0	1.0	6.0	0	0	0	7.0	25.0	0	2.0	0	1.0	0	1.0	0	1.0	0	1.0	0
started	0	0	9.0	2.0	0	1.0	1.0	0	23.0	0	0	0	0	6.0	0	0	0	14.0	5.0	0	3.0	0	3.0	0	2.0	0	1.0	0	0	0
state	0	1.0	0	0	0	1.0	0	9.0	8.0	5.0	0	0	0	7.0	0	0	0	1.0	19.0	0	4.0	0	0	0	35.0	0	0	0	0	0
states	0	0	1.0	0	0	0	0	4.0	6.0	0	0	0	0	0	0	0	0	0	41.0	0	4.0	0	0	0	15.0	0	0	0	0	0
status	0	0	2.0	0	0	0	0	1.0	4.0	2.0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	0	1.0	1.0	0	0	0	0	0
stay	0	0	1.0	1.0	0	1.0	0	1.0	3.0	0	0	0	0	3.0	0	0	0	3.0	4.0	0	0	0	0	0	0	0	1.0	0	0	0
step	0	0	1.0	0	0	3.0	0	1.0	14.0	0	0	0	0	4.0	0	0	0	0	4.0	0	1.0	0	0	0	0	0	0	0	0	0
still	0	0	13.0	5.0	1.0	2.0	2.0	1.0	47.0	0	0	0	0	4.0	0	0	0	13.0	20.0	0	4.0	0	1.0	0	7.0	0	0	0	0	0
stop	0	0	3.0	1.0	0	1.0	0	0	3.0	2.0	0	0	0	0	0	0	0	2.0	11.0	0	1.0	0	0	1.0	1.0	0	0	0	0	0
stories	0	0	2.0	0	0	0	0	0	4.0	0	0	0	0	18.0	0	0	0	3.0	10.0	0	1.0	0	0	0	1.0	0	0	0	0	0
story	0	1.0	11.0	0	1.0	0	2.0	1.0	8.0	1.0	1.0	0	0	28.0	1.0	0	0	2.0	33.0	2.0	17.0	1.0	0	1.0	10.0	0	0	0	0	0
students	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	62.0	0	1.0	0	0	5.0	0	0	0	0	0	7.0	0	0	0	1.0	0
study	0	0	0	0	0	1.0	0	0	7.0	1.0	0	0	0	7.0	0	0	0	6.0	15.0	0	5.0	0	0	0	1.0	0	0	0	0	0
stuff	1.0	0	3.0	0	1.0	0	0	1.0	9.0	0	0	0	0	0	0	1.0	0	2.0	8.0	0	0	0	0	0	0	0	0	0	0	0
successful	0	0	2.0	0	0	0	0	1.0	4.0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0
such	0	0	8.0	1.0	0	1.0	0	2.0	17.0	0	0	0	0	11.0	0	1.0	0	8.0	19.0	0	3.0	0	0	0	3.0	0	0	0	0	0
summer	0	0	1.0	0	0	3.0	0	0	3.0	0	0	0	0	9.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	1.0	0
sunday	0	0	0	0	0	2.0	0	1.0	0	2.0	0	0	0	0	0	0	0	4.0	9.0	0	3.0	0	0	0	10.0	1.0	1.0	0	0	0
support	0	0	6.0	2.0	0	0	2.0	0	22.0	2.0	0	0	0	9.0	0	0	0	2.0	28.0	0	5.0	0	1.0	0	4.0	0	0	0	0	0
sure	0	0	2.0	1.0	0	2.0	0	3.0	20.0	0	0	0	0	2.0	0	0	0	11.0	11.0	0	0	0	0	0	0	0	0	0	1.0	1.0
system	0	0	6.0	5.0	0	0	1.0	2.0	22.0	0	0	0	0	1.0	0	0	0	0	6.0	1.0	4.0	0	0	0	2.0	0	0	0	0	0
take	1.0	0	5.0	1.0	1.0	6.0	1.0	3.0	26.0	1.0	0	0	0	15.0	0	0	0	7.0	17.0	0	0	0	0	0	3.0	2.0	0	0	0	1.0
taken	0	0	2.0	0	0	0	0	0	2.0	0	0	0	0	2.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0
takes	0	0	3.0	0	1.0	3.0	1.0	0	6.0	0	0	0	1.0	1.0	0	0	0	1.0	9.0	1.0	0	0	0	0	1.0	1.0	0	0	0	0
taking	0	0	3.0	1.0	0	4.0	1.0	0	11.0	1.0	0	0	0	3.0	0	0	0	4.0	7.0	0	1.0	0	0	0	0	0	0	0	0	0
talk	0	0	3.0	0	0	0	2.0	0	5.0	0	0	0	0	2.0	1.0	2.0	0	2.0	19.0	0	0	0	1.0	0	3.0	1.0	0	0	0	0
talking	0	0	10.0	0	0	0	0	1.0	5.0	0	0	0	0	0	0	0	0	4.0	31.0	0	0	0	0	0	0	0	0	0	0	0
tap	0	0	5.0	4.0	0	0	0	0	8.0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
team	0	0	16.0	1.0	0	0	0	0	22.0	0	0	0	0	8.0	0	0	0	5.0	36.0	0	2.0	0	0	0	11.0	0	0	0	0	0
teams	0	0	4.0	0	0	0	0	0	3.0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	0	0	1.0	5.0	0	0	0	0	0
tech	1.0	0	2.0	0	0	8.0	0	12.0	9.0	0	0	0	0	5.0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	1.0	0	0
tell	0	0	2.0	0	0	0	0	0	13.0	0	0	0	0	5.0	0	0	0	11.0	4.0	0	0	0	1.0	0	0	0	0	0	0	0
ten	1.0	0	1.0	0	0	0	0	0	2.0	0	1.0	0	0	1.0	0	0	0	2.0	4.0	0	0	0	0	0	1.0	0	0	0	2.0	0
than	1.0	0	11.0	5.0	1.0	5.0	4.0	8.0	45.0	2.0	1.0	0	0	18.0	0	0	0	9.0	55.0	0	10.0	0	0	3.0	6.0	0	0	1.0	2.0	0
thanks	1.0	0	2.0	0	0	0	0	1.0	4.0	1.0	0	0	0	1.0	1.0	2.0	0	2.0	1.0	0	1.0	0	2.0	0	0	0	0	0	0	0
them	4.0	0	27.0	3.0	0	3.0	0	13.0	47.0	0	0	0	0	24.0	0	0	0	50.0	55.0	0	2.0	0	0	4.0	4.0	1.0	0	0	1.0	0
themselves	1.0	0	2.0	0	0	0	0	1.0	8.0	1.0	0	0	0	3.0	0	0	0	9.0	6.0	0	0	0	0	0	2.0	0	0	0	0	0
then	3.0	0	21.0	3.0	1.0	0	7.0	1.0	56.0	3.0	1.0	0	0	7.0	0	1.0	0	22.0	56.0	1.0	1.0	0	3.0	0	0	0	0	0	0	0
these	1.0	0	21.0	3.0	0	5.0	5.0	2.0	37.0	0	0	0	0	26.0	1.0	0	0	26.0	26.0	1.0	2.0	0	1.0	0	3.0	0	0	0	1.0	1.0
thing	1.0	0	16.0	0	0	3.0	1.0	3.0	22.0	1.0	0	0	0	2.0	0	0	0	13.0	27.0	1.0	0	0	1.0	0	1.0	0	1.0	0	0	0
things	1.0	0	22.0	1.0	1.0	2.0	3.0	2.0	31.0	3.0	0	0	0	5.0	1.0	1.0	0	6.0	26.0	1.0	0	1.0	0	4.0	0	2.0	1.0	0	0	0
think	0	0	10.0	0	0	3.0	1.0	4.0	26.0	0	0	0	0	10.0	0	0	0	30.0	77.0	0	1.0	0	0	1.0	1.0	0	0	0	0	0
those	3.0	0	14.0	3.0	0	3.0	1.0	0	20.0	1.0	0	0	0	5.0	0	0	0	10.0	49.0	0	5.0	0	0	3.0	3.0	0	0	0	0	1.0
though	3.0	0	3.0	1.0	0	1.0	1.0	3.0	26.0	0	0	0	0	1.0	0	0	0	5.0	11.0	0	1.0	0	0	0	2.0	0	0	0	0	0
thought	0	0	5.0	0	0	0	2.0	0	19.0	0	0	0	0	3.0	0	0	0	11.0	10.0	0	0	0	2.0	0	2.0	0	0	0	0	0
thousands	0	0	1.0	0	0	0	2.0	0	2.0	1.0	0	0	0	3.0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0
three	0	0	5.0	0	0	0	1.0	0	9.0	0	0	0	0	9.0	1.0	0	0	3.0	28.0	1.0	1.0	2.0	0	0	6.0	0	0	0	0	0
through	1.0	0	12.0	0	0	2.0	4.0	0	33.0	2.0	1.0	0	1.0	17.0	0	1.0	0	4.0	10.0	2.0	2.0	0	0	0	5.0	1.0	0	0	0	0
today	1.0	0	10.0	1.0	0	2.0	1.0	3.0	1.0	8.0	0	0	0	11.0	0	0	0	4.0	56.0	0	3.0	0	1.0	0	2.0	1.0	0	2.0	0	0
together	1.0	0	5.0	0	1.0	2.0	0	0	4.0	0	0	0	0	6.0	1.0	0	0	4.0	6.0	0	0	0	1.0	0	2.0	0	0	0	0	0
told	0	0	5.0	0	0	0	1.0	2.0	2.0	0	0	0	0	1.0	0	0	0	3.0	24.0	0	4.0	0	0	0	5.0	0	0	0	0	0
too	2.0	0	15.0	0	0	1.0	1.0	2.0	35.0	1.0	0	0	0	3.0	0	0	0	6.0	13.0	0	3.0	0	2.0	0	2.0	2.0	0	0	2.0	0
took	1.0	0	3.0	0	0	2.0	1.0	0	6.0	0	1.0	0	0	1.0	0	1.0	0	8.0	21.0	0	0	0	0	0	1.0	0	0	0	0	0
tool	0	0	1.0	1.0	0	0	0	0	11.0	0	0	0	0	3.0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	2.0
tools	0	0	3.0	5.0	0	0	0	0	12.0	0	0	0	0	20.0	0	0	0	7.0	0	1.0	0	0	0	0	0	0	0	0	0	2.0
top	1.0	0	0	1.0	1.0	0	0	0	11.0	0	0	0	0	13.0	0	0	0	4.0	6.0	0	0	0	0	0	1.0	1.0	0	0	0	1.0
town	0	0	0	0	0	0	0	1.0	2.0	0	1.0	0	0	2.0	0	0	0	2.0	1.0	0	0	0	0	0	7.0	0	0	0	0	1.0
track	0	0	4.0	0	0	1.0	1.0	0	4.0	0	0	0	0	2.0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0
training	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	2.0	0	0	0	0	0	2.0	2.0	0	0	0	0	0
travel	0	0	0	0	0	2.0	0	0	14.0	0	0	0	0	0	0	0	0	4.0	16.0	0	0	0	0	0	6.0	0	0	0	0	0
tried	0	0	4.0	1.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	1.0	7.0	0	0	0	0	0	1.0	2.0	0	0	0	0
trip	0	1.0	0	0	0	1.0	0	2.0	8.0	0	0	0	0	1.0	1.0	0	0	0	2.0	0	0	0	0	0	0	0	2.0	0	0	0
true	1.0	0	0	0	0	2.0	0	0	14.0	0	0	0	0	0	0	0	0	1.0	21.0	0	0	0	0	0	17.0	0	0	0	0	0
trump	0	2.0	0	0	0	17.0	0	1.0	0	17.0	1.0	0	0	0	0	0	2.0	0	175.0	0	0	0	0	0	34.0	0	1.0	0	0	0
try	0	0	10.0	3.0	0	0	0	0	16.0	0	0	0	0	2.0	0	0	0	4.0	7.0	0	1.0	0	0	0	2.0	0	0	0	1.0	0
trying	0	0	8.0	0	0	0	0	0	15.0	0	0	0	0	1.0	1.0	0	0	7.0	28.0	0	3.0	0	0	0	2.0	0	0	0	0	0
turn	0	0	1.0	5.0	0	2.0	0	0	16.0	0	0	0	0	1.0	0	0	0	2.0	4.0	0	0	0	0	0	1.0	0	0	0	0	0
turned	1.0	0	3.0	0	0	0	0	2.0	7.0	0	0	0	0	0	0	0	0	1.0	4.0	0	0	0	0	0	0	0	0	0	0	0
tweet	0	0	0	0	0	2.0	0	0	4.0	3.0	1.0	0	0	0	0	0	0	7.0	27.0	0	0	0	0	0	13.0	0	0	0	0	0
tweets	0	0	1.0	0	0	1.0	0	1.0	3.0	0	0	0	0	0	0	0	2.0	20.0	35.0	0	0	0	0	0	4.0	0	0	0	0	0
twitter	0	0	2.0	0	0	12.0	0	3.0	55.0	1.0	0	0	0	7.0	1.0	0	0	68.0	40.0	0	3.0	0	3.0	0	5.0	0	0	0	0	0
two	3.0	0	15.0	0	1.0	3.0	1.0	3.0	35.0	1.0	0	0	0	2.0	0	0	0	8.0	33.0	0	9.0	0	1.0	0	7.0	2.0	0	1.0	3.0	0
under	0	0	1.0	0	0	2.0	2.0	0	4.0	1.0	1.0	0	0	3.0	0	0	0	1.0	13.0	0	2.0	0	0	0	6.0	0	0	0	0	0
understand	0	0	2.0	1.0	0	0	1.0	0	5.0	0	0	0	0	4.0	0	0	0	13.0	7.0	0	1.0	0	0	0	1.0	0	0	0	0	0
understanding	0	0	0	2.0	1.0	0	0	0	2.0	0	0	0	0	5.0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0
unique	0	0	2.0	1.0	0	1.0	0	0	3.0	0	0	0	0	5.0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	0	0	0	1.0
united	0	0	2.0	0	0	0	1.0	1.0	5.0	0	0	0	0	0	0	0	0	0	35.0	0	4.0	0	0	0	5.0	0	0	0	0	0
university	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	2.0	0	0	0	1.0	2.0	0	2.0	0	0	0	2.0	0	0	0	0	0
unless	1.0	0	1.0	0	0	0	0	2.0	5.0	0	0	0	0	0	0	0	0	3.0	2.0	0	0	0	0	0	0	0	0	0	0	0
until	0	0	3.0	0	0	2.0	0	0	15.0	1.0	0	0	0	3.0	0	0	0	0	8.0	1.0	0	0	0	0	0	0	1.0	0	0	0
update	0	0	2.0	0	0	1.0	1.0	0	20.0	1.0	0	0	0	3.0	1.0	0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0
updates	0	0	4.0	2.0	0	0	0	0	3.0	0	0	0	0	5.0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	0	0	0	0
use	3.0	0	5.0	7.0	0	1.0	1.0	0	102.0	3.0	0	0	0	19.0	0	0	0	20.0	16.0	0	0	0	0	1.0	1.0	0	1.0	0	1.0	1.0
used	2.0	0	4.0	0	0	0	0	0	41.0	0	0	0	0	6.0	0	0	0	1.0	8.0	2.0	1.0	0	0	0	2.0	0	3.0	0	1.0	0
user	2.0	0	3.0	0	0	3.0	0	0	27.0	0	0	0	0	2.0	1.0	0	0	4.0	0	1.0	1.0	0	3.0	0	0	0	0	0	0	0
users	0	0	2.0	3.0	0	0	0	0	20.0	0	0	0	0	4.0	4.0	0	0	9.0	0	0	2.0	0	0	0	0	0	0	0	0	1.0
uses	0	0	1.0	0	0	0	0	3.0	8.0	0	0	0	0	3.0	0	0	0	1.0	4.0	0	0	0	0	0	0	0	0	0	0	0
using	4.0	0	6.0	5.0	0	0	0	0	57.0	0	0	0	0	14.0	0	0	0	29.0	14.0	0	3.0	0	2.0	0	0	0	1.0	0	0	1.0
usually	0	0	3.0	0	1.0	0	0	0	10.0	0	0	0	0	2.0	0	0	0	5.0	2.0	0	0	1.0	0	0	0	0	0	0	0	0
version	0	0	1.0	3.0	1.0	2.0	0	0	15.0	0	0	0	0	4.0	0	0	0	0	5.0	0	2.0	0	0	0	2.0	0	0	0	0	0
very	1.0	0	25.0	2.0	0	2.0	1.0	2.0	30.0	0	0	0	0	1.0	1.0	0	0	25.0	37.0	0	1.0	0	2.0	0	4.0	0	0	0	0	0
via	2.0	0	3.0	2.0	0	0	0	0	22.0	0	1.0	0	0	1.0	0	0	0	8.0	2.0	0	3.0	1.0	0	0	2.0	1.0	0	0	0	0
video	0	0	1.0	3.0	0	5.0	0	0	64.0	4.0	0	0	0	6.0	0	1.0	0	0	37.0	0	1.0	1.0	1.0	0	6.0	0	0	0	0	0
videos	0	0	0	4.0	0	1.0	0	0	14.0	0	0	0	0	8.0	0	0	0	0	4.0	0	1.0	0	0	0	0	0	0	0	0	0
view	1.0	0	0	1.0	0	0	0	0	7.0	0	0	0	0	6.0	0	0	0	5.0	13.0	0	0	0	0	0	0	0	0	0	0	0
visit	0	0	1.0	0	0	3.0	0	1.0	3.0	0	0	0	10.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wait	0	0	0	0	2.0	0	0	0	8.0	1.0	0	0	0	1.0	0	0	0	0	8.0	0	0	0	0	1.0	2.0	0	0	0	0	0
want	2.0	0	32.0	3.0	1.0	1.0	1.0	0	54.0	0	0	0	0	17.0	1.0	0	0	30.0	37.0	0	2.0	0	0	2.0	4.0	0	0	1.0	1.0	0
wanted	0	0	11.0	0	0	0	1.0	1.0	32.0	0	0	0	0	3.0	0	0	0	13.0	7.0	0	2.0	0	1.0	0	1.0	0	0	0	0	0
wants	0	0	8.0	0	0	0	0	2.0	1.0	1.0	0	0	0	2.0	0	0	0	3.0	9.0	1.0	0	0	0	0	0	0	0	1.0	0	0
washington	0	0	0	0	0	1.0	1.0	0	0	2.0	2.0	0	0	1.0	0	0	0	0	39.0	0	6.0	0	0	0	6.0	0	0	0	0	0
wasn	0	0	6.0	0	0	0	0	0	8.0	0	0	0	0	1.0	0	0	0	8.0	7.0	0	0	0	0	0	1.0	0	1.0	0	0	0
watch	0	0	0	0	0	3.0	0	0	3.0	0	0	0	0	3.0	0	0	0	0	9.0	0	0	0	0	0	4.0	1.0	0	1.0	0	0
way	1.0	0	13.0	1.0	0	2.0	0	1.0	48.0	4.0	0	0	0	12.0	0	0	0	27.0	33.0	1.0	2.0	0	2.0	0	3.0	0	0	0	0	0
ways	0	0	1.0	1.0	1.0	1.0	0	0	7.0	0	0	0	0	9.0	0	0	0	6.0	9.0	0	0	0	0	0	0	0	0	0	0	0
web	4.0	0	1.0	3.0	0	3.0	0	0	23.0	0	0	0	0	1.0	1.0	0	0	1.0	3.0	0	2.0	0	0	0	0	4.0	1.0	0	0	0
website	1.0	0	1.0	0	0	0	0	0	69.0	0	0	0	10.0	3.0	0	0	0	3.0	8.0	0	0	0	0	0	0	3.0	0	0	0	0
week	0	0	4.0	0	0	2.0	1.0	0	21.0	0	0	0	0	11.0	0	0	0	7.0	11.0	0	5.0	0	1.0	0	9.0	0	1.0	0	0	0
weekend	0	0	1.0	0	0	1.0	1.0	2.0	1.0	0	0	0	0	1.0	0	0	0	2.0	8.0	0	0	0	0	0	2.0	0	0	0	1.0	0
weeks	0	0	0	0	0	2.0	0	1.0	11.0	1.0	0	0	0	0	0	0	1.0	5.0	6.0	0	3.0	0	0	0	2.0	0	1.0	0	0	0
well	2.0	0	15.0	2.0	2.0	1.0	1.0	2.0	41.0	1.0	0	0	0	10.0	0	0	0	14.0	40.0	0	2.0	0	2.0	1.0	0	0	0	0	0	0
went	1.0	0	4.0	0	1.0	1.0	1.0	0	7.0	0	1.0	0	0	2.0	0	0	0	7.0	9.0	0	0	0	1.0	0	5.0	0	1.0	0	0	0
were	1.0	0	32.0	0	1.0	4.0	1.0	9.0	45.0	3.0	0	0	0	6.0	2.0	2.0	0	33.0	44.0	1.0	6.0	0	0	0	10.0	0	0	0	3.0	0
weren	0	0	5.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	3.0	5.0	0	0	0	0	0	1.0	0	0	0	0	0
whatever	0	0	2.0	1.0	0	0	0	2.0	5.0	0	0	0	0	0	0	0	0	2.0	4.0	0	0	0	0	0	1.0	0	0	0	0	0
where	1.0	0	23.0	1.0	0	4.0	0	5.0	38.0	0	0	0	0	10.0	0	0	0	15.0	38.0	0	5.0	0	3.0	0	12.0	0	0	0	0	1.0
whether	1.0	1.0	2.0	2.0	0	3.0	0	2.0	2.0	0	0	0	0	5.0	0	0	0	1.0	13.0	1.0	1.0	0	0	0	2.0	0	0	0	0	0
which	4.0	0	13.0	12.0	2.0	10.0	2.0	10.0	38.0	0	0	0	0	19.0	1.0	0	0	21.0	76.0	0	9.0	0	2.0	0	11.0	0	0	0	0	1.0
while	1.0	0	7.0	5.0	1.0	2.0	0	2.0	76.0	0	0	0	0	6.0	0	2.0	0	8.0	31.0	0	6.0	0	1.0	0	5.0	0	2.0	0	0	0
white	0	0	0	0	0	0	0	3.0	3.0	2.0	1.0	0	0	3.0	0	0	0	0	54.0	0	0	0	0	0	11.0	0	0	0	0	0
whole	0	0	3.0	0	0	0	0	0	12.0	1.0	0	0	0	1.0	0	0	0	1.0	12.0	0	0	0	0	0	0	2.0	0	0	0	0
why	0	0	20.0	1.0	0	2.0	1.0	3.0	25.0	3.0	0	0	0	9.0	0	0	0	24.0	22.0	0	1.0	0	5.0	4.0	2.0	0	0	0	3.0	0
without	0	0	1.0	0	0	3.0	2.0	1.0	25.0	0	0	0	0	2.0	0	0	0	2.0	7.0	0	1.0	0	0	0	7.0	1.0	0	0	0	0
women	0	0	0	1.0	2.0	3.0	0	1.0	0	0	0	0	0	9.0	0	0	0	0	50.0	0	0	0	0	0	1.0	1.0	0	0	0	0
won	0	0	6.0	1.0	0	2.0	1.0	3.0	17.0	0	0	0	0	2.0	0	0	0	10.0	17.0	0	0	0	1.0	0	3.0	0	1.0	0	0	0
words	0	0	1.0	0	0	1.0	4.0	1.0	3.0	0	0	0	0	0	1.0	0	0	1.0	14.0	0	1.0	0	0	0	2.0	0	0	0	1.0	0
work	1.0	1.0	15.0	0	0	4.0	3.0	1.0	63.0	0	0	0	0	11.0	1.0	0	0	17.0	16.0	0	8.0	1.0	0	1.0	0	0	0	0	1.0	0
worked	0	0	6.0	0	0	0	0	0	8.0	0	0	0	0	1.0	1.0	0	0	5.0	3.0	0	3.0	0	0	1.0	1.0	0	0	0	0	0
working	2.0	0	12.0	0	0	1.0	0	0	53.0	0	0	0	0	5.0	0	0	0	1.0	6.0	0	2.0	0	1.0	0	2.0	0	0	0	0	0
works	0	0	3.0	2.0	0	0	0	0	16.0	0	0	0	0	1.0	0	0	0	1.0	3.0	0	0	0	1.0	0	0	0	0	0	0	0
would	10.0	1.0	21.0	0	0	7.0	1.0	3.0	116.0	2.0	0	0	0	6.0	2.0	0	0	30.0	109.0	0	6.0	0	0	1.0	16.0	0	0	1.0	0	0
wouldn	2.0	0	1.0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	3.0	6.0	0	0	0	0	0	0	0	0	0	0	0
write	0	0	1.0	0	2.0	1.0	0	2.0	11.0	0	0	0	0	1.0	0	0	0	9.0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0
writing	0	0	3.0	0	1.0	1.0	1.0	0	15.0	0	0	0	0	11.0	0	0	0	5.0	1.0	0	0	0	1.0	0	0	0	1.0	0	0	0
wrong	1.0	0	3.0	0	0	0	0	1.0	2.0	2.0	0	0	0	0	0	0	0	4.0	5.0	1.0	0	0	2.0	0	1.0	0	0	0	0	0
wrote	0	0	2.0	0	1.0	0	1.0	0	12.0	0	0	0	0	2.0	0	0	0	6.0	13.0	0	0	0	0	0	1.0	0	0	0	0	0
yesterday	1.0	0	1.0	0	0	0	3.0	0	1.0	2.0	1.0	0	0	2.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
york	0	0	0	0	0	0	0	1.0	3.0	0	1.0	0	1.0	5.0	0	0	0	2.0	20.0	0	1.0	0	0	0	2.0	0	0	0	0	0
yourself	1.0	0	5.0	0	0	1.0	0	0	5.0	0	0	0	0	6.0	0	0	0	3.0	2.0	0	0	0	0	0	0	0	0	0	0	1.0
